id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
51324111539074,192.168.100.201,95.100.170.161,10,10,2435,1186,1693307759.248706,1693307809.253629
2162291950782722,192.168.100.201,108.59.161.4,6,4,449,790,1693307808.493826,1693307809.069935
895834946139686,192.168.100.201,192.26.92.30,1,1,83,489,1693307837.063014,1693307837.296002
2023680487276301,fe80:0000:0000:0000:992f:b2ff:b8ff:0307,ff15:0000:0000:0000:0000:0000:efc0:988f,6,0,1203,0,1693308053.474893,1693308059.479186
1601910399222018,10.10.39.171,10.10.39.255,3,0,276,0,1693307982.246018,1693307983.762768
1040266095795863,192.168.100.201,142.250.201.131,9,10,2733,4616,1693307676.564887,1693307676.882219
477706994965122,192.168.100.201,204.79.197.203,17,20,5028,11404,1693307837.84237,1693307899.032423
478166551965366,192.168.100.201,142.250.201.131,9,10,2730,4616,1693307769.601782,1693307769.911752
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
2026854462136163,10.10.39.242,224.0.0.251,1,0,87,0,1693307962.466787,1693307962.466787
901242296956768,192.168.100.201,84.53.139.192,1,1,93,159,1693307639.096096,1693307639.223105
760839821430387,192.168.100.201,172.217.169.234,14,14,3016,4637,1693307721.888435,1693307741.769838
1746032299301842,192.168.100.201,23.211.133.192,1,1,93,159,1693307639.089042,1693307639.229403
1605445132070415,192.168.100.201,172.217.169.234,14,14,3019,4637,1693307597.896527,1693307617.606178
479583882609372,192.168.100.201,23.61.199.194,1,1,89,155,1693307638.951004,1693307639.17809
2029139363529501,192.168.100.201,84.53.139.192,1,1,92,158,1693307638.951069,1693307639.09002
1467181560564301,192.168.100.201,192.26.92.30,6,3,447,862,1693307837.789069,1693307838.460992
341517888040333,157.240.227.35,10.10.39.218,2,0,134,0,1693308006.044429,1693308006.051941
1889737621137280,192.168.100.201,23.235.32.32,1,1,85,146,1693307808.878464,1693307808.973192
1889746199937689,192.168.100.201,96.7.49.194,1,1,92,158,1693307638.950937,1693307639.082252
1749605723166028,192.168.100.201,23.235.32.32,1,1,88,176,1693307808.873804,1693307808.968359
2032352010216448,192.168.100.201,108.59.161.4,1,1,85,85,1693307808.304128,1693307808.493774
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
78695956760982,10.10.39.194,224.0.0.251,6,0,1305,0,1693308044.936342,1693308045.705714
348054830452661,10.10.39.78,224.0.0.252,2,0,128,0,1693308040.528309,1693308040.946484
1755472666589912,8.8.8.8,10.10.39.218,1,0,114,0,1693308084.883416,1693308084.883416
1052609832597057,192.168.100.201,104.156.84.32,1,1,85,146,1693307688.767553,1693307688.862436
1616393028102830,fe80:0000:0000:0000:bfa5:4335:1df6:a8d2,ff02:0000:0000:0000:0000:0000:0000:00fb,3,0,306,0,1693307969.51883,1693307972.541287
68675777417774,192.168.100.201,216.239.36.10,1,1,86,136,1693307729.610862,1693307729.750776
1616938470514368,192.168.100.201,23.235.36.32,1,1,98,186,1693307688.958144,1693307689.05242
2041032137836697,192.168.100.201,172.217.169.238,15,17,5342,6926,1693307789.592025,1693307789.966727
493087270917506,192.168.100.201,23.235.36.32,1,1,85,146,1693307808.873858,1693307808.977618
1900741337934061,10.10.39.136,224.0.0.251,3,0,246,0,1693307969.518381,1693307972.541039
775154942051933,192.168.100.201,96.7.49.194,1,1,93,159,1693307639.099933,1693307639.223507
1338147860518326,192.168.100.201,192.168.100.1,1,1,342,342,1693307874.923062,1693307874.925692
1076283711251806,10.10.39.80,10.10.39.255,3,0,276,0,1693307977.550238,1693307979.065433
2043445899651728,192.168.100.201,23.212.252.215,1,1,97,241,1693307639.35496,1693307639.552308
918142854025856,192.168.100.201,142.250.181.165,370,495,151462,143095,1693305514.84032,1693308045.019405
495866114335199,192.168.100.201,203.80.128.20,1,1,90,90,1693307801.516575,1693307801.542592
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
1787543185312811,fe80:0000:0000:0000:0a00:27ff:fee9:bf3a,ff02:0000:0000:0000:0000:0000:0001:0002,1,0,130,0,1693308052.183339,1693308052.183339
498851132215484,10.10.39.78,224.0.0.252,2,0,128,0,1693308040.528572,1693308040.946447
1765578695876652,192.168.100.201,142.250.201.131,9,10,2734,4616,1693307645.565292,1693307645.878072
1765793456060501,192.168.100.201,216.239.36.10,1,1,86,102,1693307825.587861,1693307825.726148
2190260779713667,192.168.100.201,192.26.92.30,6,3,447,862,1693307837.296067,1693307837.988222
1486581927891775,192.168.100.201,216.239.34.10,1,1,86,136,1693307837.709439,1693307837.866711
1206545774578989,192.168.100.201,192.48.79.30,6,3,447,862,1693307980.691501,1693307981.061742
786162967153348,74.125.133.188,10.10.39.218,1,0,683,0,1693308004.821956,1693308004.821956
504722336899538,192.168.100.201,103.55.68.158,1,1,90,90,1693307801.516562,1693307801.538618
1912290488337334,192.168.100.201,142.250.180.42,10,12,4276,5162,1693307715.57439,1693307716.165016
364242562191161,fe80:0000:0000:0000:8da9:9355:2583:5ede,ff02:0000:0000:0000:0000:0000:0001:0003,2,0,168,0,1693308040.528185,1693308040.946479
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
